"Gene","mean_Control","mean_GHR-KO","sd_Control","sd_GHR-KO","Cohens.d_genotype","mean_Female","mean_Male","sd_Female","sd_Male","Cohens.d_sex","anova_p_val_genotype","anova_p_val_sex","anova_p_val_genotype:sex","adjusted_p_val_genotype","adjusted_p_val_sex","adjusted_p_val_genotype:sex","4721","4945","4715","4718","4524","4722","4716","4717","THSD_pair"
"ACAT2",28.27880764,28.3613610275,0.190212280284972,0.0972019819062195,0.546549777311061,28.351551055,28.2886176125,0.158980864783511,0.149187747125142,-0.408229046331148,0.457970827903137,0.565524105837565,0.198437596365611,0.774534482438643,0.837127682549678,0.596337701155699,28.22802544,28.40271568,28.45544434,28.35925865,28.55405998,28.22140312,28.11624527,28.22352219,NA
"ACBD3",27.8289308525,28.0218982725,0.158364621682839,0.0373302893012133,1.67725152951447,27.9806003575,27.8702287675,0.0993740280385782,0.182484879701492,-0.751192862047838,0.0621048925613448,0.21579652646588,0.402421979405657,0.383576771642765,0.615846342216413,0.741945225095065,28.0065136,28.07734871,28.00763512,27.99609566,27.84158134,27.99695778,27.61505508,27.86212921,NA
"ACIN1",27.28828335,27.2603344925,0.0666458225895432,0.112394094679841,-0.302489406593802,27.2485518475,27.300065995,0.104573460838185,0.0699293236379785,0.579108300295535,0.730472430839187,0.533207862260876,0.91478554868704,0.913487236075912,0.819465364479281,0.97511412959487,27.11416245,27.36360931,27.33150864,27.23205757,27.28392029,27.23251534,27.38311005,27.25358772,NA
"ACLY",29.804029465,29.88168049,0.147348282324947,0.143719802350722,0.533517731263647,29.872540475,29.81316948,0.149899366479077,0.146856808644298,-0.400112144143457,0.493814026653826,0.596046680616029,0.270604505331618,0.799635636677056,0.851598972427043,0.660999522975522,29.7007618,29.99010086,29.83175659,30.00410271,29.79332161,30.00597763,29.65386391,29.76295471,NA
"ACO1",31.174809935,31.370185375,0.166603734595515,0.0917303332134358,1.45279105696388,31.3160524375,31.2289428725,0.125849412251928,0.201797360427735,-0.517994544210655,0.137991611482637,0.455814962398869,0.689807337214755,0.527803506321761,0.773284433110974,0.897223814536257,31.28466034,31.49748039,31.36994553,31.32865524,31.20670319,31.27536583,31.28658867,30.93058205,NA
"ACO2",31.8493895525,31.980298995,0.0656089742918536,0.0794092083402102,1.79730140584143,31.9699864375,31.85970211,0.0905839687262521,0.0756395221803503,-1.32160977273964,0.0116478320975081,0.0206397560300269,0.644060038866974,0.181480738809561,0.236694185422557,0.879136198842918,32.03144073,32.05426788,31.95650101,31.87898636,31.93659592,31.85764122,31.78316116,31.82015991,NA
"ACOT13",26.18885088,25.85210562,0.422265111449823,0.163622266097424,-1.05161012853716,25.9076352125,26.1333212875,0.421987719142291,0.262008674778878,0.642562925222819,0.253938294015299,0.422735557852314,0.921240002872951,0.647673073930055,0.753034400604538,0.976096035403675,25.63525009,25.86990166,25.87051392,26.03275681,25.60964012,26.51574898,26.48928452,26.1407299,NA
"ACOT7",27.78797531,27.89289141,0.157940533707437,0.123773740474622,0.739422173804327,27.8272051825,27.8536615375,0.156033564171003,0.150964600984841,0.172331644935356,0.434554614129165,0.837527846129802,0.788155668285015,0.761798634797458,0.951377554940261,0.935735423986157,27.84224129,27.9518261,28.02997017,27.74752808,27.60321617,27.91153717,27.71003914,27.92710876,NA
"ACOT9",24.816550255,25.5057711625,0.9481267683712,0.226166749139296,0.999976397549163,25.336645605,24.9856758125,0.0332166755349236,1.08791368951911,-0.456024271339202,0.213782465767038,0.493867583274305,0.232375872024513,0.613724153585547,0.799635636677056,0.628462774186801,25.33558655,25.37062645,25.8310833,25.48578835,25.29179192,25.3485775,23.39622879,25.22960281,NA
"ACP1",27.690845965,27.885308265,0.0956030580649688,0.130442602264277,1.700478911817,27.70336437,27.87278986,0.130039603029185,0.123768514361403,1.33466021152898,0.0186647326622828,0.0289879937338579,0.794407523930758,0.228059702217268,0.274533352420654,0.938115832933442,27.88430977,27.70272827,27.95637512,27.9978199,27.58376884,27.6426506,27.74040413,27.79656029,NA
"ACSF2",25.2552165975,26.2288165125,1.19417901187314,0.0714939941835233,1.15093068541871,25.7648530025,25.7191801075,0.927752278565997,1.09589741033781,-0.0449841147424721,0.254379950553229,0.953254682620887,0.985241355222728,0.647673073930055,0.987498896973619,0.99505741300539,26.31257439,26.20514107,26.25333405,26.14421654,24.37635422,26.16534233,26.39651489,24.08265495,NA
